id;q_012_SQ001;q_012_SQ002;q_012_SQ003;q_012_SQ004;q_012_SQ005;q_012_SQ006
610;3;NA;NA;NA;NA;NA
616;6;5;4;4;4;4
617;5;5;2;4;2;2
618;4;4;4;5;5;5
620;5;5;5;5;5;5
621;4;4;3;3;4;5
624;NA;NA;NA;NA;NA;NA
628;4;4;4;4;4;4
630;NA;NA;NA;NA;NA;NA
632;NA;NA;4;4;3;3
636;5;4;3;3;4;4
637;6;6;6;6;6;6
638;5;5;4;4;5;5
639;4;3;3;4;5;5
640;4;3;3;4;5;5
641;NA;NA;NA;NA;NA;NA
642;3;5;5;5;4;5
643;4;5;5;5;5;5
644;5;5;6;6;6;5
645;5;5;6;6;6;5
